Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 111.0.0.0,,,2023-04-03 14:25:43,2023-04-03 14:28:42,2m - 58.874s,FAILED
,,,,,,,
Test Cases/Login/TC_1_Sign In Successfully,Chrome 111.0.0.0,,,2023-04-03 14:25:43,2023-04-03 14:26:39,55.433s,FAILED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 14:25:43,2023-04-03 14:25:43,0.023s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 14:25:43,2023-04-03 14:25:57,13.521s,ERROR
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-04-03 14:25:57,2023-04-03 14:26:34,36.968s,FAILED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 14:26:34,2023-04-03 14:26:34,0.002s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 14:26:34,2023-04-03 14:26:39,4.646s,ERROR
,,,,,,,
"Test Cases/Login/TC_2,3_Sign In With Invalid Data",Chrome 111.0.0.0,,,2023-04-03 14:26:39,2023-04-03 14:27:15,36.449s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 14:26:39,2023-04-03 14:26:39,0.006s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 14:26:39,2023-04-03 14:27:10,30.830s,PASSED
"errorMessage = ""Login failed! Please ensure the username and password are valid.""",Chrome 111.0.0.0,,,2023-04-03 14:27:10,2023-04-03 14:27:10,0.001s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-04-03 14:27:10,2023-04-03 14:27:11,1.239s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), sUsername)",Chrome 111.0.0.0,,,2023-04-03 14:27:11,2023-04-03 14:27:12,0.888s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), sPassword)",Chrome 111.0.0.0,,,2023-04-03 14:27:12,2023-04-03 14:27:13,0.665s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Chrome 111.0.0.0,,,2023-04-03 14:27:13,2023-04-03 14:27:14,1.068s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txvLoginError""), errorMessage, STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-04-03 14:27:14,2023-04-03 14:27:14,0.461s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 14:27:14,2023-04-03 14:27:14,0.001s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-04-03 14:27:14,2023-04-03 14:27:15,0.830s,PASSED
,,,,,,,
"Test Cases/Login/TC_2,3_Sign In With Invalid Data",Chrome 111.0.0.0,,,2023-04-03 14:27:15,2023-04-03 14:27:26,11.095s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 14:27:15,2023-04-03 14:27:15,0.001s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-04-03 14:27:15,2023-04-03 14:27:21,5.667s,PASSED
"errorMessage = ""Login failed! Please ensure the username and password are valid.""",Chrome 111.0.0.0,,,2023-04-03 14:27:21,2023-04-03 14:27:21,0.001s,PASSED
