Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 111.0.0.0,,,2023-03-31 11:07:07,2023-03-31 11:09:13,2m - 6.207s,PASSED
,,,,,,,
Test Cases/Login/TC_1_Sign In Successfully,Chrome 111.0.0.0,,,2023-03-31 11:07:07,2023-03-31 11:07:18,11.111s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-03-31 11:07:07,2023-03-31 11:07:13,6.319s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-03-31 11:07:13,2023-03-31 11:07:14,0.759s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), gUserName)",Chrome 111.0.0.0,,,2023-03-31 11:07:14,2023-03-31 11:07:15,0.765s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), gPassword)",Chrome 111.0.0.0,,,2023-03-31 11:07:15,2023-03-31 11:07:16,0.654s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Chrome 111.0.0.0,,,2023-03-31 11:07:16,2023-03-31 11:07:17,0.945s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/lblMakeAppointment""), 30)",Chrome 111.0.0.0,,,2023-03-31 11:07:17,2023-03-31 11:07:17,0.520s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-03-31 11:07:17,2023-03-31 11:07:18,1.050s,PASSED
,,,,,,,
"Test Cases/Login/TC_2,3_Sign In With Invalid Data",Chrome 111.0.0.0,,,2023-03-31 11:07:18,2023-03-31 11:07:52,33.993s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-03-31 11:07:18,2023-03-31 11:07:48,29.820s,PASSED
"errorMessage = ""Login failed! Please ensure the username and password are valid.""",Chrome 111.0.0.0,,,2023-03-31 11:07:48,2023-03-31 11:07:48,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-03-31 11:07:48,2023-03-31 11:07:49,0.712s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), sUsername)",Chrome 111.0.0.0,,,2023-03-31 11:07:49,2023-03-31 11:07:50,0.749s,PASSED
