Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Edge Chromium 111,,,2023-04-03 13:13:09,2023-04-03 13:15:04,1m - 55.227s,PASSED
,,,,,,,
Test Cases/Login/TC_1_Sign In Successfully,Edge Chromium 111,,,2023-04-03 13:13:09,2023-04-03 13:13:27,17.588s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 111,,,2023-04-03 13:13:09,2023-04-03 13:13:21,11.458s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Edge Chromium 111,,,2023-04-03 13:13:21,2023-04-03 13:13:23,1.204s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), gUserName)",Edge Chromium 111,,,2023-04-03 13:13:23,2023-04-03 13:13:24,1.313s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), gPassword)",Edge Chromium 111,,,2023-04-03 13:13:24,2023-04-03 13:13:25,0.899s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Edge Chromium 111,,,2023-04-03 13:13:25,2023-04-03 13:13:26,1.037s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/lblMakeAppointment""), 30)",Edge Chromium 111,,,2023-04-03 13:13:26,2023-04-03 13:13:26,0.404s,PASSED
Start listener action : sampleAfterTestCase,Edge Chromium 111,,,2023-04-03 13:13:26,2023-04-03 13:13:27,0.815s,PASSED
,,,,,,,
"Test Cases/Login/TC_2,3_Sign In With Invalid Data",Edge Chromium 111,,,2023-04-03 13:13:27,2023-04-03 13:13:40,12.598s,PASSED
Start listener action : sampleBeforeTestCase,Edge Chromium 111,,,2023-04-03 13:13:27,2023-04-03 13:13:35,8.047s,PASSED
"errorMessage = ""Login failed! Please ensure the username and password are valid.""",Edge Chromium 111,,,2023-04-03 13:13:35,2023-04-03 13:13:35,0.000s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Edge Chromium 111,,,2023-04-03 13:13:35,2023-04-03 13:13:36,0.766s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), sUsername)",Edge Chromium 111,,,2023-04-03 13:13:36,2023-04-03 13:13:37,0.765s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), sPassword)",Edge Chromium 111,,,2023-04-03 13:13:37,2023-04-03 13:13:37,0.642s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Edge Chromium 111,,,2023-04-03 13:13:37,2023-04-03 13:13:38,0.990s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txvLoginError""), errorMessage, STOP_ON_FAILURE)",Edge Chromium 111,,,2023-04-03 13:13:38,2023-04-03 13:13:39,0.464s,PASSED
