Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 111.0.0.0,,,2023-03-30 14:42:12,2023-03-30 14:44:48,2m - 36.892s,PASSED
,,,,,,,
Test Cases/Login/TC_1_Sign In Successfully,Chrome 111.0.0.0,,,2023-03-30 14:42:12,2023-03-30 14:42:48,35.946s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-03-30 14:42:12,2023-03-30 14:42:43,31.415s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-03-30 14:42:43,2023-03-30 14:42:44,1.009s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), gUserName)",Chrome 111.0.0.0,,,2023-03-30 14:42:44,2023-03-30 14:42:45,0.642s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), gPassword)",Chrome 111.0.0.0,,,2023-03-30 14:42:45,2023-03-30 14:42:46,0.684s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Chrome 111.0.0.0,,,2023-03-30 14:42:46,2023-03-30 14:42:47,0.912s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/lblMakeAppointment""), 30)",Chrome 111.0.0.0,,,2023-03-30 14:42:47,2023-03-30 14:42:47,0.430s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-03-30 14:42:47,2023-03-30 14:42:48,0.654s,PASSED
,,,,,,,
"Test Cases/Login/TC_2,3_Sign In With Invalid Data",Chrome 111.0.0.0,,,2023-03-30 14:42:48,2023-03-30 14:43:53,1m - 5.793s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-03-30 14:42:48,2023-03-30 14:43:49,1m - 1.209s,PASSED
"errorMessage = ""Login failed! Please ensure the username and password are valid.""",Chrome 111.0.0.0,,,2023-03-30 14:43:49,2023-03-30 14:43:49,0.002s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnMakeAppointment""))",Chrome 111.0.0.0,,,2023-03-30 14:43:49,2023-03-30 14:43:50,0.759s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfUsername""), Username)",Chrome 111.0.0.0,,,2023-03-30 14:43:50,2023-03-30 14:43:51,0.795s,PASSED
"setText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txfPassword""), Password)",Chrome 111.0.0.0,,,2023-03-30 14:43:51,2023-03-30 14:43:51,0.715s,PASSED
"click(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/btnLogin""))",Chrome 111.0.0.0,,,2023-03-30 14:43:51,2023-03-30 14:43:52,0.909s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_CURA Healthcare Service Login/txvLoginError""), errorMessage, STOP_ON_FAILURE)",Chrome 111.0.0.0,,,2023-03-30 14:43:52,2023-03-30 14:43:53,0.562s,PASSED
Start listener action : sampleAfterTestCase,Chrome 111.0.0.0,,,2023-03-30 14:43:53,2023-03-30 14:43:53,0.629s,PASSED
,,,,,,,
"Test Cases/Login/TC_2,3_Sign In With Invalid Data",Chrome 111.0.0.0,,,2023-03-30 14:43:53,2023-03-30 14:44:03,9.483s,PASSED
Start listener action : sampleBeforeTestCase,Chrome 111.0.0.0,,,2023-03-30 14:43:54,2023-03-30 14:43:59,5.105s,PASSED
"errorMessage = ""Login failed! Please ensure the username and password are valid.""",Chrome 111.0.0.0,,,2023-03-30 14:43:59,2023-03-30 14:43:59,0.000s,PASSED
